"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"DS1","404-1032-2-ND","2227mil","948mil","2227mil","948mil","2291.961mil","948mil","T","360.00","LNJ216C8ARU"
"R1","0603","2598mil","951mil","2568mil","951mil","2568mil","951mil","T","0.00","200"
"C6","0603_072205","2610mil","1430mil","2610mil","1430mil","2580mil","1430mil","T","0.00","10pf"
"C5","0603_072205","2610mil","1490mil","2610mil","1490mil","2580mil","1490mil","T","0.00","10pf"
"U1","SOT25_030205","2168.5mil","1247.75mil","2176mil","1229mil","2126mil","1266.5mil","T","180.00","MIC1557"
"R2","0603_072205","2071mil","1349mil","2071mil","1349mil","2101mil","1349mil","T","180.00","2K"
"Q1","SOT23_SMALL_FET_012005","2572mil","1168.094mil","2572mil","1174mil","2552.315mil","1142.504mil","T","360.00","SSM3K7002"
"D1","DIODE_FSC_091912","2659mil","1269mil","2659mil","1269mil","2659mil","1284.748mil","T","90.00","1SS416"
"C4","0603_072205","2542mil","1268mil","2542mil","1268mil","2572mil","1268mil","T","180.00","10pf"
"C3","0603_072205","2229mil","1350mil","2229mil","1350mil","2259mil","1350mil","T","180.00","0.1uf"
"C2","0603_072205","2356mil","1186mil","2356mil","1186mil","2386mil","1186mil","T","180.00","0.1uf"

